entity,corpus,frequency,snomed_concept,depth
hypothalamus-pituitary gland,A,1,,
hypouricemic treatment,A,1,,
hypoventilation,A,1,31515003,6
hysteroscopy,A,1,142512000,
ideal,A,1,148029004,
idiopathic thrombocytopenic purpura,A,1,32273002,18
ie,A,1,1222732004,6
ig,A,1,111163002,12
iga myeloma,A,1,285420006,22
iga nephropathy,A,1,236407003,19
iii-iv,A,1,,
image,A,1,900000000000520007,5
image distortion,A,1,,
imaging tests,A,1,,
immature skeleton,A,1,,
immunocompromised patient,A,1,275828002,7
immunocompromised patients,A,1,,
immunodeficiency,A,1,64431000,
immunoglobulins g,A,1,,
immunosuppressed,A,1,389382006,
immuodepressed,A,1,,
impaired,A,1,260379002,6
implant,A,1,40388003,5
implants,A,1,52852000,15
in-hospital pneumonia,A,1,,
incidental,A,1,261087003,5
incline,A,1,,
independence,A,1,225346003,9
indication,A,1,410665000,6
indications,A,1,424295009,5
infarction,A,1,55641003,7
infarctions,A,1,,
infected,A,1,73154007,6
infectious clinic,A,1,,
infectious diseases syllabus,A,1,,
infectious esophagitis,A,1,,
infectious picture,A,1,,
inferior rectus muscle,A,1,47869003,21
inferior vena cava filter,A,1,216051000119102,7
infratemporal pathway,A,1,,
inhibitors,A,1,412032002,6
inhibits,A,1,,
injury,A,1,19130008,6
installation,A,1,136548003,
intense,A,1,248098003,11
interdigital,A,1,264041005,7
intermittent dysphagia,A,1,19597002,11
international headache society,A,1,,
interrupted,A,1,261017006,5
intervention,A,1,393449003,
interventricular septum,A,1,589001,25
intoxications,A,1,187275001,13
intracranial pressure,A,1,250844005,6
intraepithelial,A,1,89947002,4
intramedullary,A,1,60213007,5
intramedullary nail,A,1,8451008,11
intraocular surgery,A,1,,
intravenous administration,A,1,394040004,
intravenous treatment,A,1,,
intubation,A,1,52765003,6
io,A,1,58091002,3
ipsilateral,A,1,255208005,6
irrigation,A,1,67889009,5
irritative,A,1,235074006,
ischemic,A,1,255426005,6
isolated antibiotherapy,A,1,,
isolated thrombocytopenia,A,1,724637001,15
issue,A,1,152952000,
iv calcium gluconate,A,1,,
jaundice,A,1,263780001,
jaw,A,1,661005,14
jugular pulse,A,1,,
juvenile myoclonic epilepsy,A,1,6204001,13
kalemia,A,1,,
kappa chains,A,1,,
kappa light chains,A,1,,
kawasaki disease,A,1,75053002,15
knee,A,1,72696002,14
knee arthroplasty,A,1,265102002,
labetalol,A,1,46547007,8
lack,A,1,138091007,
lady,A,1,137025005,
lambda type,A,1,,
lamina propria,A,1,30751000,24
laparoscopy,A,1,142523001,
large,A,1,255509001,6
lasting,A,1,725058003,17
lasting seconds,A,1,,
lateral wall,A,1,264067000,7
lefort type i fracture,A,1,,
lefort's type i fracture,A,1,,
leg weakness,A,1,,
leiden,A,1,143012004,
lennox gastaut,A,1,,
leukocytes,A,1,275741008,12
levels,A,1,258395000,4
lift,A,1,360304005,9
lifting,A,1,258141001,12
light chains,A,1,414761008,15
likelihood,A,1,443404001,5
limbic encephalitis,A,1,230192003,12
limits of normality,A,1,,
linear igg,A,1,,
linear trajectories,A,1,,
liver inflammation,A,1,,
livestock,A,1,137146004,
livestock workers,A,1,44585008,11
local treatment,A,1,63743009,9
loculated,A,1,90884009,6
long term,A,1,184039000,
low-dose,A,1,51251000112106,9
lower limbs,A,1,723158004,12
lower limit,A,1,260921009,7
lumbar canal,A,1,,
lumbar canal stenosis,A,1,,
lumbar onset,A,1,,
lumbar pain,A,1,139421003,
lumbosciatic pain,A,1,,
luminal,A,1,88138002,9
lupus,A,1,200936003,8
lymph nodes,A,1,141352004,
lymphadenopathy,A,1,139134006,
lymphocytic pleocytosis,A,1,,
lymphocytosis,A,1,67023009,13
lymphoid neoplasms,A,1,450940003,12
lymphoma,A,1,21964009,12
lysis,A,1,30750004,6
m,A,1,257969007,6
macrocytic anemia,A,1,83414005,14
macular edema,A,1,37231002,15
macular hemorrhages,A,1,,
macular hole,A,1,193388002,
maintained,A,1,385630006,7
maintenance,A,1,367049001,
malignization,A,1,,
mammography,A,1,71651007,13
mandibular claudication,A,1,,
maneuver,A,1,116320007,16
manifestation,A,1,111800004,9
marrow aplasia,A,1,,
marrow failure,A,1,1177173001,18
mass,A,1,4147007,5
masson's trichrome,A,1,,
material,A,1,276731003,4
maternal family,A,1,315871007,
maxilla,A,1,70925003,19
maxillary sinus,A,1,15924003,15
mean arterial pressure,A,1,1285244000,10
measurement,A,1,122869004,8
mechanical,A,1,261018001,6
mechanical complications,A,1,157766005,
mechanisms,A,1,257544000,4
medial,A,1,36263002,
medial orbital rim,A,1,,
medical,A,1,74188005,6
medium,A,1,255508009,6
megakaryocytes,A,1,145165006,
membranous,A,1,83097008,6
meningeal irritation,A,1,70784009,8
meniscopathy,A,1,,
meropenem,A,1,96062004,8
metabolic alkalosis,A,1,1388004,9
metabolic chain,A,1,,
metformin,A,1,109081006,9
microcystic adenoma,A,1,189580001,
microhematuria,A,1,,
microsatellite instability,A,1,443412009,3
microtome,A,1,705219006,8
midface,A,1,720982007,20
midface fractures,A,1,,
milk,A,1,70813002,7
mine,A,1,136603005,
minutes,A,1,258701004,5
miscarriage,A,1,17369002,17
mitral insufficiency,A,1,48724000,15
moderate,A,1,6736007,7
moderate-high doses,A,1,,
modifies,A,1,,
molar gestation,A,1,,
mole,A,1,58817003,13
molecular classification,A,1,,
monocular amaurosis,A,1,,
mononucleosis,A,1,154359004,
month,A,1,258706009,5
mood,A,1,85256008,9
morbidity,A,1,138439004,
morphine,A,1,73572009,8
mortality,A,1,409651001,3
mother,A,1,393493003,
motor ocular nerve,A,1,,
motor symptoms,A,1,139510009,
movement,A,1,255324009,9
movements,A,1,141243005,
ms,A,1,258697002,5
mucosa,A,1,74301006,7
mucus,A,1,49909006,13
muscle reflexes,A,1,,
muscular,A,1,263816006,7
musical,A,1,136266009,
mutation,A,1,471281007,8
mutations,A,1,722967008,9
myalgias,A,1,,
mycophenolate,A,1,409330005,14
myoclonus,A,1,17450006,10
myodesopsias,A,1,,
myopic macular degeneration,A,1,312898002,17
nail dynamization,A,1,,
naso-ethmoidal fractures,A,1,,
natural,A,1,510009,6
nausea,A,1,139330007,
neck pain,A,1,81680005,11
negative bacilli,A,1,,
neoadjuvant,A,1,373847000,8
neoplasms,A,1,187597000,
nephrogenic diabetes insipidus,A,1,111395007,15
nephrotic syndrome,A,1,155851004,
nerve t1 under t1,A,1,,
neurologist,A,1,56397003,12
neurolytic treatment,A,1,,
ngs,A,1,1366450005,8
ngs panel,A,1,,
nighttime departures,A,1,,
nitrites,A,1,,
nnt=,A,1,,
no matter,A,1,,
no value,A,1,408094002,4
nocardia,A,1,59674005,16
nocturnal,A,1,2546009,7
nodule,A,1,27925004,6
noia,A,1,,
non-arteritic,A,1,230509007,14
non-arteritic noia,A,1,,
non-invasive,A,1,22762002,6
non-obvious clinical pictures,A,1,,
nonspecific,A,1,154388003,
nonunion,A,1,302941001,11
noonan syndrome,A,1,88327006,10
normal blood glucose,A,1,,
normal glycorrhachia,A,1,,
normal population,A,1,,
normality,A,1,276800000,4
nose,A,1,45206002,14
notification,A,1,147784004,
nsaid,A,1,16403005,8
null,A,1,276727009,5
numbering,A,1,,
occurrence,A,1,246454002,6
ocular examination,A,1,,
ocular manifestations,A,1,111399001,
ocular motility,A,1,31763002,4
oculomotor nerves,A,1,343271000119109,15
oft,A,1,,
older,A,1,53201003,10
older patients,A,1,,
open fracture,A,1,397181002,10
opinion,A,1,186074001,
opioids,A,1,312060001,6
optic nerve,A,1,18234004,15
option 2,A,1,,
option 3,A,1,,
orbital,A,1,263826004,7
orbito-malar complex,A,1,,
orbito-malar region,A,1,,
orthosis,A,1,224898003,6
osm,A,1,143099009,
osteoarthritis,A,1,156486003,
osteosynthesis material,A,1,,
otorhinolaryngologic,A,1,60823005,6
ovarian size,A,1,,
overlap,A,1,276657008,6
p. aeruginosa,A,1,,
p. jirovecii infection,A,1,,
pa,A,1,259016002,5
painful,A,1,22253000,9
painless,A,1,255350008,5
palmo-plantar keratoderma,A,1,,
palpable inguinal nodes,A,1,,
pancreas,A,1,15776009,18
pancytopenia,A,1,127034005,15
pao2/fio2,A,1,,
papulocoses,A,1,,
papulopustular rash,A,1,,
paradoxical pulse,A,1,52099006,11
parameters,A,1,252116004,3
parapneumonic pleural effusion,A,1,,
parenteral nutritional therapy,A,1,,
pathogens,A,1,,
pathologic significance,A,1,,
pathological,A,1,29458008,6
pathological value,A,1,,
pathologies,A,1,,
pattern,A,1,255711007,4
pcp<18,A,1,,
pediatrics,A,1,394537008,6
pelvic movements,A,1,229262002,11
pelvis,A,1,12921003,13
peptic stricture,A,1,235596005,15
percentage,A,1,389446000,
perfusion,A,1,88058003,6
pericardial effusion,A,1,70370001,12
periocular pain,A,1,,
peripapillary,A,1,255565005,7
peripheral blood,A,1,119273009,15
peripheral blood smear,A,1,117023006,13
peripheral polyneuropathy,A,1,,
pernicious anemia,A,1,84027009,17
persistence,A,1,130965009,11
persists,A,1,,
pertrochanteric fracture,A,1,208562000,17
pesi,A,1,,
pesis,A,1,304756004,4
pet-ct,A,1,1373815000,15
phenomenon,A,1,398123003,13
phenotype,A,1,145678007,
phospholipid syndrome,A,1,1263496006,12
piante murmur,A,1,,
pioglitazone,A,1,326058001,9
pituitary adenomas,A,1,189628002,11
pituitary insufficiency,A,1,74728003,12
pituitary mri,A,1,,
plasma,A,1,50863008,16
plasma cells,A,1,269499001,16
platelet count,A,1,142967005,
platelet transfusions,A,1,,
plexus block,A,1,307015004,14
plexus blockade,A,1,,
pmn,A,1,101380000,6
pneumococcal infection,A,1,16814004,9
pneumology,A,1,56775002,5
po2,A,1,250546000,16
polyangiitis,A,1,46956008,12
polychromatophilia,A,1,52300009,6
polycystic entity,A,1,,
polyuria,A,1,139462009,
poor control,A,1,147815004,
poor girl,A,1,,
poor response,A,1,405786003,3
poorly,A,1,556001,6
post-traumatic hypovolemia,A,1,,
posterior cord,A,1,282786009,14
posterior motor,A,1,,
posterior vitreous detachment,A,1,247081001,15
posteriori,A,1,,
postgastrectomy,A,1,197126006,
potassium-sparing diuretic,A,1,47755009,6
pre-core mutant,A,1,,
precocious puberty,A,1,154716006,
precordial,A,1,139231008,
pregnant woman,A,1,255409004,7
prepathological value,A,1,,
pressure,A,1,13543005,6
pretibial myxedema,A,1,78146007,14
primary,A,1,63161005,6
primary biliary cirrhosis,A,1,31712002,16
primary hyperaldosteronism,A,1,190507007,13
priority treatment,A,1,,
probability,A,1,273713006,4
programmed,A,1,311598006,9
progress,A,1,136791005,
promotes,A,1,,
prophylaxis,A,1,46167008,5
prosthesis,A,1,53350007,5
prothrombotic status,A,1,,
pruritic,A,1,301444002,
pseudarthrosis,A,1,240195004,
pseudo-flu-like symptomatology,A,1,,
pseudoarthrosis,A,1,31511007,12
pseudocrisis,A,1,,
pseudosyringomyelic,A,1,,
psychiatry everything,A,1,,
pti,A,1,,
puerperium,A,1,86569001,13
pulmonary aspergillosis,A,1,6042001,12
pulmonary atelectasis,A,1,46621007,11
pulmonary contusion,A,1,262784001,15
pulmonary infections,A,1,233666007,19
pulmonary infiltrates,A,1,196145005,
pulmonary parenchyma,A,1,396918008,7
pulmonary thromboembolism,A,1,233935004,14
puncture,A,1,11639007,11
punctured,A,1,,
punished,A,1,,
pvd,A,1,236078003,15
pvds,A,1,,
qt space,A,1,,
quadrants,A,1,261083004,8
quantification,A,1,1362011002,12
question thinking,A,1,,
questions,A,1,288796008,12
quickest,A,1,,
ra,A,1,12396006,12
radicular pain,A,1,11679003,16
radiological diagnosis,A,1,,
radius,A,1,62413002,17
ranges,A,1,277975002,5
rapid administration,A,1,,
rare,A,1,89292003,6
raspberry tongue,A,1,5920007,13
raynaud's,A,1,195295006,10
read,A,1,367152006,
reading,A,1,50360004,10
real life,A,1,,
reappearance,A,1,225447006,9
reason,A,1,410666004,6
recommendations,A,1,8050000,11
reconstruction,A,1,122465003,6
rectal cancer,A,1,363351006,18
recurrent,A,1,37056003,
recurrent infections,A,1,1187114007,13
red cell destruction,A,1,,
red lips,A,1,,
refeeding syndrome,A,1,427698009,8
refractive defects,A,1,,
refractory,A,1,20646008,6
regenerative,A,1,115963009,14
region,A,1,18432002,6
regular check-ups,A,1,,
reiter's,A,1,154390002,
reiter's syndrome,A,1,67224007,18
release,A,1,115956009,4
remeasurement,A,1,,
remission,A,1,277022003,6
renal crises,A,1,,
renal crisis,A,1,236503001,13
renopulmonary syndrome,A,1,,
repercussion,A,1,,
replenishment,A,1,,
replication,A,1,74256009,9
repolarization,A,1,428417006,12
residency,A,1,,
respiratory acidosis,A,1,12326000,9
respiratory distress,A,1,271825005,7
respiratory route,A,1,,
responses,A,1,252971002,
rest,A,1,258157001,6
result,A,1,393456009,
reticulocytosis,A,1,142899000,
retinal,A,1,155104004,
retinal detachment,A,1,155103005,
review,A,1,393061004,
rheumatoid arthritis,A,1,156471009,
rheumatologist,A,1,45440000,12
rhinorrhea,A,1,6696001,11
right border,A,1,277929005,24
right cavities,A,1,,
right ventricular dysfunction,A,1,472774001,19
risk factor,A,1,80943009,3
risser,A,1,870537001,10
ritcher's syndrome,A,1,,
route,A,1,260670006,4
routine,A,1,50811001,6
rra=,A,1,,
rsv-positive bronchiolitis,A,1,,
rubella,A,1,36653000,15
rupture,A,1,263896005,
rv flow,A,1,,
sad,A,1,66446005,10
safety's,A,1,,
salbutamol,A,1,91143003,9
saline glucose,A,1,,
sans sabrafens,A,1,,
scabies,A,1,128869009,20
scalp,A,1,41695006,13
schistocytes,A,1,726510009,6
sciatic nerve,A,1,41519007,19
scleroderma,A,1,201441006,9
secondary glomerulopathy,A,1,,
secondary syphilis,A,1,154382002,
secretion,A,1,35184007,8
sediment,A,1,386100006,15
sego,A,1,,
self-induced weight loss,A,1,,
sella turcica,A,1,42575006,21
seminules,A,1,,
sensitivity,A,1,35209006,9
sensory picture,A,1,,
separ,A,1,,
sequential,A,1,251267008,13
serological techniques,A,1,,
serositis,A,1,370469003,6
serous cystoadenoma,A,1,,
serum aldolase,A,1,,
serum thyroglobulin,A,1,389554000,
serum thyroid stimulating hormone,A,1,166336006,12
severity,A,1,246112005,6
sex,A,1,57312000,5
sglt-2,A,1,,
shock,A,1,27942005,7
short evolution time,A,1,,
short onset time,A,1,,
shortened,A,1,359530003,6
shorter,A,1,248329006,8
shorter duration,A,1,,
shunt,A,1,74478000,6
signal,A,1,394251009,
significant,A,1,393478002,
signs,A,1,141468009,
situations,A,1,273814005,4
skin abscesses,A,1,,
skin induration,A,1,,
skin lesions,A,1,274949005,13
skull ct,A,1,,
slaps,A,1,,
slaughterhouses,A,1,,
sle,A,1,10429004,15
sleep hygiene,A,1,443483005,11
small effusion,A,1,,
smells,A,1,390082009,
sodium heparin,A,1,466623002,6
soft drusen,A,1,420272005,18
soft tissues,A,1,87784001,6
spanish society of hematology and hemotherapy,A,1,,
special stain,A,1,69915000,13
specimen,A,1,123038009,1
spectrum,A,1,229710003,
spike discharges,A,1,,
spinal cord lesions,A,1,,
spine forward,A,1,,
splenectomized,A,1,,
split gland,A,1,,
sporadic,A,1,75741005,8
stability,A,1,141721003,
stabilization,A,1,115979005,3
stage,A,1,258214002,5
stage a1,A,1,261619008,6
stage endometrial cancer,A,1,,
stains type i collagen fibers,A,1,,
staphylococcal shock,A,1,,
stenosis,A,1,257554001,
steps,A,1,217093000,9
steroid,A,1,116566001,10
steroids,A,1,147895000,
stops,A,1,260890000,5
stressful situation,A,1,,
stretching,A,1,122546009,10
stroke,A,1,230690007,13
stuffing,A,1,227762008,7
subacute thyroiditis,A,1,38727009,12
subcapital fracture,A,1,21761007,19
subcutaneous,A,1,263887005,7
subepithelial,A,1,427987005,15
subretinal hemorrhage,A,1,13937002,16
subsides,A,1,,
subtype,A,1,260837004,5
success rate,A,1,,
sudden onset,A,1,367327000,6
superior,A,1,43014004,
superior palpebral pseudo-ptosis,A,1,,
supplemental oxygen therapy,A,1,,
suppressed,A,1,245780008,6
suppression test,A,1,50947004,11
suppressive,A,1,36954008,
suppuration,A,1,41034006,7
surface antigen,A,1,143568001,
surgical,A,1,83578000,6
surgical criteria,A,1,,
surgical intervention,A,1,413239008,9
suspected,A,1,76053005,8
suspecting,A,1,,
symmetrical,A,1,255473004,7
symptom,A,1,393457000,
syndrome,A,1,64572001,2
syringomyelic,A,1,,
systemic disease,A,1,56019007,5
systemic lupus erythematosus,A,1,156450004,
systemic sclerosis,A,1,89155008,10
systemic symptoms,A,1,702809001,8
systolic murmur,A,1,31574009,15
t1,A,1,23351008,9
tachypnea,A,1,43186005,
tag line,A,1,,
talking,A,1,87335007,13
tanner iv,A,1,,
tb,A,1,60117003,3
tbi,A,1,127295002,14
techniques,A,1,272394005,5
temperature,A,1,246508008,4
temporal,A,1,255570003,7
temporal arteritis,A,1,87511001,14
temporal criteria,A,1,,
temporal lobe,A,1,78277001,23
temporomandibular ankylosis,A,1,,
temporomandibular region,A,1,,
tendinitis,A,1,312785002,
teratogenicity,A,1,58694006,11
territory,A,1,224024007,7
textbook,A,1,,
therapeutic approach,A,1,,
thermoalgesic,A,1,,
thermoalgesic anesthesia,A,1,,
thickening,A,1,89977008,9
thoracic roots,A,1,,
thoracic trauma,A,1,,
thorax,A,1,51185008,11
thromboendarterectomy,A,1,74556005,20
thrombophilia,A,1,191302007,
thrombotic episode,A,1,,
thyroid function,A,1,143701008,
thyroid gland,A,1,69748006,14
tibia fracture,A,1,,
ticlopidine,A,1,108971003,6
tissues,A,1,87784001,6
today,A,1,101953001,6
tolerance,A,1,71412006,7
topical,A,1,359540000,6
total,A,1,255619001,6
total certainty,A,1,,
toxicity,A,1,75478009,4
toxicoderma,A,1,95326004,10
tp53,A,1,1260406003,17
traction,A,1,66391000,10
transfused,A,1,157887007,
transfusing,A,1,151002005,
transient hypogammaglobulinemia of infancy,A,1,88714009,8
transsphenoidal decompression,A,1,,
traps superficial capillaries,A,1,,
treated,A,1,28995006,3
treated with,A,1,28995006,3
trichrome staining,A,1,104207001,13
trigemino-autonomic headache,A,1,,
triple negative,A,1,706970001,20
tropism,A,1,446722008,15
troponin,A,1,102680009,16
trunk forward,A,1,,
tsh,A,1,65428006,19
tuberculosis,A,1,154281007,
tumor cell proliferation index,A,1,,
tumor-like debridement,A,1,,
turner syndrome,A,1,38804009,19
type of fracture,A,1,260844008,6
typical,A,1,66915001,11
ulcerative colitis,A,1,155764007,
ulnar green stalk,A,1,,
uncontrolled,A,1,19032002,6
unilateral neuralgiform headache,A,1,725058003,17
union,A,1,134194006,11
unprofitable,A,1,,
unusual,A,1,141770004,
upper limbs,A,1,192968004,
urethral exudate,A,1,,
uric acid,A,1,1710001,17
urinary free,A,1,,
urinary osm,A,1,,
urinary osmolarity,A,1,,
urine gram,A,1,,
urine protein,A,1,50456001,15
use of,A,1,260676000,5
v/q disturbance,A,1,,
valproic acid,A,1,13965000,11
variable,A,1,255372005,5
variants,A,1,193030005,18
vascular event,A,1,,
vascular profile,A,1,,
vascular trunk,A,1,,
vasodilatation,A,1,30017007,9
vasopressin test,A,1,,
vegetative fibers,A,1,,
vegetative neuropathy,A,1,,
ventilated areas,A,1,,
ventricular extrasystoles,A,1,17338001,15
verge,A,1,112233002,6
vertebra,A,1,51282000,16
vertebrae,A,1,52858001,16
vertical gaze,A,1,246773002,12
vessels,A,1,146274008,
veterinarian,A,1,135769006,
veterinarians,A,1,20090002,11
vhz,A,1,,
viability,A,1,367031001,
vibratory,A,1,75693000,9
viii edition,A,1,,
violent jumps,A,1,,
viral hepatitis,A,1,154346007,
viral meningoencephalitis,A,1,82547005,15
virus dna,A,1,121182007,11
vision,A,1,61402003,10
visual acuity,A,1,363983007,5
visual disturbances,A,1,194656007,12
vitamin b12,A,1,259664005,18
vitreous hemorrhage,A,1,31341008,15
vomiting,A,1,139337005,
von-hippel-lindau syndrome,A,1,,
vsd,A,1,30288003,21
wait,A,1,151864005,
walking,A,1,63448001,17
warning,A,1,151366002,
warning sign,A,1,713056003,8
washing,A,1,257942006,
water retention,A,1,,
weight gain,A,1,8943002,9
weight loss,A,1,89362005,9
western-blot test,A,1,,
wet,A,1,17461003,6
wet form,A,1,39439008,12
white coloration,A,1,,
wilson's disease,A,1,88518009,12
wiskott-aldrich syndrome,A,1,36070007,20
women,A,1,225062001,6
worded,A,1,,
working hard,A,1,,
worries,A,1,276075005,9
worsen,A,1,385639007,5
worsening,A,1,230993007,7
worsens,A,1,,
wound,A,1,13924000,8
written,A,1,152847009,
x,A,1,258002001,
x-linked,A,1,263934009,6
x-linked immunodeficiencies,A,1,,
y chromosome,A,1,416911009,15
year,A,1,258707000,5
year's,A,1,,
young,A,1,84422007,6
young people,A,1,,
younger patients,A,1,,
yours,A,1,,
patient's,B,97,152365000,
diagnosis,B,95,439401001,3
case,B,86,398241000,3
symptoms,B,67,139552004,
patient,B,44,116154003,5
treatment,B,31,151269007,
findings,B,30,393473006,
presence,B,27,386397008,7
presentation,B,27,246105001,4
absence,B,25,418560003,4
history,B,25,51042001,5
risk,B,25,366990009,
elevated,B,23,75540009,8
increased,B,23,35105006,7
consistent with,B,22,7883008,3
option 3,B,20,,
options,B,17,223487003,8
condition,B,16,260905004,4
infection,B,16,257551009,
potential,B,16,151638002,
severe,B,16,24484000,7
conditions,B,15,157161005,
option 2,B,15,,
management,B,13,393450003,
pain,B,13,366981002,
abnormal,B,12,85531003,
lack,B,12,138091007,
option 4,B,12,,
associated with,B,11,47429007,6
inflammation,B,11,23583003,5
involvement,B,11,278112009,6
option 1,B,11,,
complications,B,10,156097009,
development,B,10,103378002,3
effective,B,10,112234008,
fever,B,10,248425001,9
hypertension,B,10,38341003,8
patients,B,10,184191002,
progression,B,10,246450006,4
hypoxemia,B,9,30869003,8
individuals,B,9,785892007,5
levels,B,9,258395000,4
negative,B,9,393476003,
urine,B,9,78014005,14
affected,B,8,247591002,6
blood,B,8,87612001,14
characterized,B,8,373673007,10
complication,B,8,116223007,4
level,B,8,276625007,4
months,B,8,258706009,5
positive,B,8,393474000,
progressive,B,8,62789008,
test,B,8,165734002,
age,B,7,102518004,7
antibodies,B,7,143260007,
cluster headaches,B,7,155048007,
context,B,7,263491009,4
diagnostic test,B,7,142005002,
low,B,7,62482003,6
monitoring,B,7,147847009,
production,B,7,246848009,
reducing,B,7,160661009,
scenario,B,7,,
action,B,6,129264002,4
affecting,B,6,123127006,
asthenia,B,6,274638001,
bone marrow,B,6,256888005,
cause,B,6,152527006,
crp,B,6,61425002,17
disease,B,6,64572001,2
eye,B,6,367568005,
headache,B,6,139490008,
immediate,B,6,393483005,
improvement,B,6,152877003,
increase,B,6,260366006,5
itp,B,6,32273002,18
laboratory findings,B,6,309588008,5
lesion,B,6,49755003,3
low-risk,B,6,370912008,4
normal,B,6,17621005,6
oa,B,6,789698001,10
pattern,B,6,255711007,4
persistent,B,6,86639004,
removal,B,6,118292001,3
response,B,6,151263008,
retina,B,6,5665001,20
significant,B,6,393478002,
weight loss,B,6,89362005,9
woman,B,6,224526002,6
adequate,B,5,88323005,6
aiha,B,5,25121006,18
atypical,B,5,112231000,6
bacterial meningitis,B,5,95883001,11
benign,B,5,30807003,6
chest x-ray,B,5,55587003,14
decreased,B,5,1250004,7
diarrhea,B,5,62315008,12
excessive,B,5,260378005,5
exogenous,B,5,51352008,6
exudative,B,5,255305006,6
fracture,B,5,157169007,
higher,B,5,151568000,
hours,B,5,258702006,5
hyperkalemia,B,5,14140009,11
indomethacin,B,5,60149003,9
initial,B,5,884001,7
kidneys,B,5,146256004,
lumbar puncture,B,5,148731000,
lungs,B,5,146275009,
managing,B,5,133959005,
morphine,B,5,73572009,8
nature,B,5,246425008,4
neuropathic pain,B,5,247398009,12
painless,B,5,255350008,5
pneumonia,B,5,60363000,
prednisone,B,5,116602009,18
pregnancy,B,5,77386006,12
prolonged,B,5,255224006,6
red blood cells,B,5,126248006,8
respiratory distress,B,5,271825005,7
scid-x1,B,5,,
sensitivity,B,5,35209006,9
surgery,B,5,257556004,5
tests,B,5,272393004,6
weeks,B,5,258705008,5
accumulation,B,4,87862008,14
acute,B,4,53737009,6
administration,B,4,152269009,
amd,B,4,237967002,13
antibiotics,B,4,324287006,
appropriate,B,4,80608005,10
cases,B,4,398241000,3
changes,B,4,147903004,
child,B,4,393494009,
clinical case,B,4,,
collagenous colitis,B,4,19311003,15
confirmation,B,4,248992004,12
corticosteroids,B,4,79440004,6
course,B,4,260908002,5
ct,B,4,146287002,
ct scan,B,4,129679001,10
damage,B,4,37782003,5
days,B,4,258703001,5
deep vein thrombosis,B,4,195403006,
dyspnea,B,4,49233005,
early stages,B,4,,
edema,B,4,79654002,6
elisa test,B,4,143440002,
empyema,B,4,66696003,8
enophthalmos,B,4,80093006,12
female,B,4,139867007,
fna,B,4,257759008,11
follow-up,B,4,308273005,3
growth,B,4,144464005,
hcg,B,4,59433001,19
hiv infection,B,4,86406008,7
igg,B,4,143328001,
individual,B,4,385435006,5
information,B,4,136824003,
lesions,B,4,364643006,
long-term,B,4,263803006,7
medication,B,4,2533004,2
megakaryocytes,B,4,145165006,
mild,B,4,18647004,
mri,B,4,113091000,11
msi,B,4,735385007,6
paracetamol,B,4,90332006,13
physical examination,B,4,5880005,8
prevent,B,4,101445003,6
puberty,B,4,18991001,10
recurrent,B,4,37056003,
relevant,B,4,137669002,
results,B,4,423100009,5
rubella,B,4,36653000,15
seizures,B,4,407621003,7
specificity,B,4,63700001,7
stroke,B,4,230690007,13
sweating,B,4,161857006,8
tachycardia,B,4,3424008,13
trauma,B,4,19130008,6
adh,B,3,77671006,17
adrenal glands,B,3,237758006,
al amyloidosis,B,3,237864008,
allergies,B,3,137650007,
alternative diagnoses,B,3,,
antibiotherapy,B,3,,
antibiotic therapy,B,3,281789004,9
anxiety,B,3,38237000,9
aptt,B,3,42525009,15
assessment,B,3,122503006,5
azithromycin,B,3,96034006,7
beta-blocker,B,3,33252009,5
bilateral,B,3,51440002,7
biopsy,B,3,86273004,11
body's,B,3,351203009,
bone healing,B,3,405043008,5
bruising,B,3,37808005,9
cataract surgery,B,3,110473004,13
cerebral blood flow,B,3,250847003,7
cervix,B,3,71252005,25
chronic,B,3,90734009,6
clinical presentation,B,3,,
culture results,B,3,,
debridement,B,3,36777000,6
decrease,B,3,260370003,5
deficiency,B,3,47563007,6
desmopressin,B,3,126189002,20
detected,B,3,260373001,5
diagnosing,B,3,,
difficulty,B,3,371157007,9
disruption,B,3,76555007,6
dose,B,3,408102007,4
drusen,B,3,18695008,5
eeg,B,3,54550000,11
efficacy,B,3,1156332000,10
elisa,B,3,143440002,
episodes,B,3,272128006,7
escitalopram,B,3,395246009,9
exacerbated,B,3,68027008,4
excess,B,3,144291005,
exposure,B,3,71677004,6
external fixator,B,3,278280003,10
face,B,3,89545001,13
family history,B,3,137667000,
fear,B,3,139491007,
features,B,3,248185005,9
fetus,B,3,393497002,
finding,B,3,246188002,1
fluid,B,3,33463005,3
formation,B,3,88833009,7
gabapentin,B,3,108402001,7
gca,B,3,414341000,14
general malaise,B,3,,
glomeruli,B,3,,
goodpasture's disease,B,3,236506009,18
haemophilus influenzae,B,3,44470000,14
hands,B,3,141636008,
hb,B,3,38082009,16
histopathological,B,3,277059002,6
hiv,B,3,19030005,12
holosystolic murmur,B,3,71201008,16
hormone,B,3,87568004,13
hypercapnia,B,3,29596007,8
hyperthyroidism,B,3,34486009,11
impaired,B,3,260379002,6
inadequate,B,3,71978007,6
increases,B,3,170663008,8
increasing,B,3,260369004,7
infant's,B,3,,
inflammatory process,B,3,,
injury,B,3,19130008,6
intense,B,3,248098003,11
intervention,B,3,393449003,
intravenous,B,3,255560000,7
invasive,B,3,10179008,6
irregular,B,3,49608001,6
jme,B,3,6204001,13
joint pain,B,3,57676002,12
